lat,lon,timestamp,significant_wave_height_m,wave_period_s,swell_height_m,swell_direction_deg
13.416666666666657,73.41666666666666,2026-09-01T00:00:00Z,2.16,9.0,1.65,279.1
13.416666666666657,73.5,2026-09-01T00:00:00Z,2.14,9.0,1.67,279.8
13.416666666666657,73.58333333333331,2026-09-01T00:00:00Z,2.12,9.0,1.68,280.6
13.416666666666657,73.66666666666666,2026-09-01T00:00:00Z,2.1,8.9,1.7,281.2
13.416666666666657,73.75,2026-09-01T00:00:00Z,2.06,8.9,1.71,281.2
13.416666666666657,73.83333333333331,2026-09-01T00:00:00Z,2.03,8.9,1.71,281.4
13.416666666666657,73.91666666666666,2026-09-01T00:00:00Z,2.01,8.9,1.69,281.3
13.416666666666657,74.0,2026-09-01T00:00:00Z,1.98,8.9,1.61,281.2
13.416666666666657,74.08333333333331,2026-09-01T00:00:00Z,1.95,8.8,1.32,266.9
13.416666666666657,74.16666666666666,2026-09-01T00:00:00Z,1.91,8.8,1.2,264.0
13.416666666666657,74.25,2026-09-01T00:00:00Z,1.86,8.7,1.15,264.0
13.416666666666657,74.33333333333331,2026-09-01T00:00:00Z,1.81,8.7,1.13,263.9
13.416666666666657,74.41666666666666,2026-09-01T00:00:00Z,1.77,8.6,1.11,264.1
13.416666666666657,74.5,2026-09-01T00:00:00Z,1.73,8.6,1.09,264.2
13.416666666666657,74.58333333333331,2026-09-01T00:00:00Z,1.68,8.6,1.07,264.5
13.416666666666657,80.41666666666663,2026-09-01T00:00:00Z,0.94,12.1,0.68,149.3
13.416666666666657,80.5,2026-09-01T00:00:00Z,1.15,14.1,0.9,151.4
13.416666666666657,80.58333333333331,2026-09-01T00:00:00Z,1.26,13.0,0.95,153.2
13.416666666666657,80.66666666666663,2026-09-01T00:00:00Z,1.36,13.6,0.98,153.3
13.416666666666657,80.75,2026-09-01T00:00:00Z,1.43,14.1,1.01,153.3
13.416666666666657,80.83333333333331,2026-09-01T00:00:00Z,1.47,14.2,1.02,153.7
13.416666666666657,80.91666666666663,2026-09-01T00:00:00Z,1.51,14.3,1.03,154.6
13.416666666666657,81.0,2026-09-01T00:00:00Z,1.54,14.4,1.04,155.5
13.5,73.0,2026-09-01T00:00:00Z,2.19,9.0,1.67,280.7
