lat,lon,timestamp,wind_speed_kmh,wind_direction_deg,gust_speed_kmh
13.1875,79.1875,2026-09-01T00:00:00Z,9.21,283.3,12.44
13.1875,79.3125,2026-09-01T00:00:00Z,9.42,283.0,12.72
13.1875,79.4375,2026-09-01T00:00:00Z,9.04,282.7,12.2
13.1875,79.5625,2026-09-01T00:00:00Z,7.18,283.3,9.69
13.1875,79.6875,2026-09-01T00:00:00Z,6.48,283.5,8.75
13.1875,79.8125,2026-09-01T00:00:00Z,7.19,281.3,9.71
13.1875,79.9375,2026-09-01T00:00:00Z,7.77,277.5,10.49
13.1875,80.0625,2026-09-01T00:00:00Z,7.78,271.3,10.5
13.1875,80.1875,2026-09-01T00:00:00Z,6.77,263.6,9.15
13.1875,80.3125,2026-09-01T00:00:00Z,9.39,261.4,12.68
13.1875,80.4375,2026-09-01T00:00:00Z,18.25,222.0,24.64
13.1875,80.5625,2026-09-01T00:00:00Z,20.89,216.2,28.2
13.1875,80.6875,2026-09-01T00:00:00Z,23.88,206.2,32.23
13.1875,80.8125,2026-09-01T00:00:00Z,25.67,202.2,34.66
13.1875,80.9375,2026-09-01T00:00:00Z,28.04,198.9,37.85
13.3125,73.0625,2026-09-01T00:00:00Z,29.31,290.0,39.57
13.3125,73.1875,2026-09-01T00:00:00Z,28.69,292.3,38.73
13.3125,73.3125,2026-09-01T00:00:00Z,26.23,296.7,35.41
13.3125,73.4375,2026-09-01T00:00:00Z,21.89,301.2,29.55
13.3125,73.5625,2026-09-01T00:00:00Z,21.85,299.7,29.5
13.3125,73.6875,2026-09-01T00:00:00Z,19.28,302.7,26.03
13.3125,73.8125,2026-09-01T00:00:00Z,13.82,315.1,18.66
13.3125,73.9375,2026-09-01T00:00:00Z,12.53,315.9,16.91
13.3125,74.0625,2026-09-01T00:00:00Z,9.03,332.2,12.2
13.3125,74.1875,2026-09-01T00:00:00Z,7.92,346.6,10.69
13.3125,74.3125,2026-09-01T00:00:00Z,9.91,337.8,13.38
13.3125,74.4375,2026-09-01T00:00:00Z,17.97,311.8,24.26
13.3125,74.5625,2026-09-01T00:00:00Z,13.83,336.4,18.67
13.3125,74.6875,2026-09-01T00:00:00Z,8.84,345.9,11.93
13.3125,74.8125,2026-09-01T00:00:00Z,3.15,52.0,4.26
13.3125,74.9375,2026-09-01T00:00:00Z,2.92,85.8,3.95
13.3125,75.0625,2026-09-01T00:00:00Z,0.77,79.2,1.04
13.3125,75.1875,2026-09-01T00:00:00Z,2.74,256.3,3.7
13.3125,75.3125,2026-09-01T00:00:00Z,4.47,257.0,6.04
13.3125,75.4375,2026-09-01T00:00:00Z,1.6,262.2,2.16
13.3125,75.5625,2026-09-01T00:00:00Z,5.43,293.8,7.33
13.3125,75.6875,2026-09-01T00:00:00Z,10.67,289.7,14.4
13.3125,75.8125,2026-09-01T00:00:00Z,11.85,280.1,16.0
13.3125,75.9375,2026-09-01T00:00:00Z,8.75,257.2,11.81
13.3125,76.0625,2026-09-01T00:00:00Z,7.84,249.6,10.58
13.3125,76.1875,2026-09-01T00:00:00Z,7.03,258.2,9.48
13.3125,76.3125,2026-09-01T00:00:00Z,6.03,266.2,8.13
13.3125,76.4375,2026-09-01T00:00:00Z,5.15,269.6,6.95
13.3125,76.5625,2026-09-01T00:00:00Z,6.36,275.2,8.59
13.3125,76.6875,2026-09-01T00:00:00Z,7.79,278.5,10.52
13.3125,76.8125,2026-09-01T00:00:00Z,7.43,273.6,10.03
13.3125,76.9375,2026-09-01T00:00:00Z,6.2,263.3,8.37
13.3125,77.0625,2026-09-01T00:00:00Z,5.82,261.5,7.86
13.3125,77.1875,2026-09-01T00:00:00Z,9.4,262.7,12.69
13.3125,77.3125,2026-09-01T00:00:00Z,11.4,266.4,15.39
13.3125,77.4375,2026-09-01T00:00:00Z,11.92,271.2,16.09
13.3125,77.5625,2026-09-01T00:00:00Z,11.43,275.8,15.44
13.3125,77.6875,2026-09-01T00:00:00Z,12.99,277.2,17.54
13.3125,77.8125,2026-09-01T00:00:00Z,13.35,275.6,18.02
13.3125,77.9375,2026-09-01T00:00:00Z,13.65,274.5,18.43
13.3125,78.0625,2026-09-01T00:00:00Z,14.51,275.7,19.59
13.3125,78.1875,2026-09-01T00:00:00Z,13.49,278.1,18.21
13.3125,78.3125,2026-09-01T00:00:00Z,14.83,281.2,20.02
13.3125,78.4375,2026-09-01T00:00:00Z,16.04,282.4,21.65
13.3125,78.5625,2026-09-01T00:00:00Z,16.11,282.4,21.74
13.3125,78.6875,2026-09-01T00:00:00Z,16.16,285.2,21.81
13.3125,78.8125,2026-09-01T00:00:00Z,16.25,285.5,21.94
13.3125,78.9375,2026-09-01T00:00:00Z,14.71,286.9,19.86
13.3125,79.0625,2026-09-01T00:00:00Z,11.81,290.1,15.94
13.3125,79.1875,2026-09-01T00:00:00Z,8.6,296.9,11.61
13.3125,79.3125,2026-09-01T00:00:00Z,8.9,292.1,12.01
13.3125,79.4375,2026-09-01T00:00:00Z,8.6,291.1,11.62
13.3125,79.5625,2026-09-01T00:00:00Z,7.66,293.6,10.34
13.3125,79.6875,2026-09-01T00:00:00Z,6.44,295.8,8.69
13.3125,79.8125,2026-09-01T00:00:00Z,6.77,284.5,9.14
13.3125,79.9375,2026-09-01T00:00:00Z,7.19,275.2,9.71
13.3125,80.0625,2026-09-01T00:00:00Z,7.1,263.9,9.58
13.3125,80.1875,2026-09-01T00:00:00Z,6.87,247.2,9.28
13.3125,80.3125,2026-09-01T00:00:00Z,9.12,246.3,12.32
13.3125,80.4375,2026-09-01T00:00:00Z,15.51,215.5,20.94
13.3125,80.5625,2026-09-01T00:00:00Z,18.9,209.9,25.52
13.3125,80.6875,2026-09-01T00:00:00Z,22.86,199.1,30.86
13.3125,80.8125,2026-09-01T00:00:00Z,26.23,195.3,35.42
13.3125,80.9375,2026-09-01T00:00:00Z,28.32,195.0,38.23
13.4375,73.0625,2026-09-01T00:00:00Z,28.79,292.5,38.87
13.4375,73.1875,2026-09-01T00:00:00Z,27.97,293.6,37.76
13.4375,73.3125,2026-09-01T00:00:00Z,24.85,294.9,33.55
13.4375,73.4375,2026-09-01T00:00:00Z,18.74,298.6,25.29
13.4375,73.5625,2026-09-01T00:00:00Z,20.97,294.8,28.31
13.4375,73.6875,2026-09-01T00:00:00Z,19.94,298.0,26.92
13.4375,73.8125,2026-09-01T00:00:00Z,17.75,304.2,23.97
13.4375,73.9375,2026-09-01T00:00:00Z,15.18,312.9,20.5
13.4375,74.0625,2026-09-01T00:00:00Z,10.3,345.4,13.91
13.4375,74.1875,2026-09-01T00:00:00Z,10.24,356.6,13.83
13.4375,74.3125,2026-09-01T00:00:00Z,12.08,334.6,16.3
13.4375,74.4375,2026-09-01T00:00:00Z,20.7,311.8,27.95
13.4375,74.5625,2026-09-01T00:00:00Z,14.68,330.0,19.81
13.4375,74.6875,2026-09-01T00:00:00Z,8.23,333.8,11.11
13.4375,74.8125,2026-09-01T00:00:00Z,1.97,14.8,2.66
13.4375,74.9375,2026-09-01T00:00:00Z,2.77,114.6,3.74
13.4375,75.0625,2026-09-01T00:00:00Z,1.48,174.4,2.0
13.4375,75.1875,2026-09-01T00:00:00Z,3.9,218.2,5.26
